cps,toi,tic,ra,dec,Vmag,Rs,smass,Rp,ruwe,evol,period
T001723,1723.01,71431780,116.7971,68.4766,9.664,1.09,1.03,3.16,0.92,MS,13.716057
63433,1726.01,130181866,117.4794,27.3632,6.92,0.9,1.01,2.16,1.0,MS,7.108153
T001727,1727.01,241225337,93.5585,53.1362,10.312000000000001,0.99,0.98,2.27,0.97,MS,1.832792
T001734,1734.01,224596152,254.5029,57.3055,10.899000000000001,0.99,1.03,2.5,1.02,MS,28.87226
T001735,1735.01,365673804,313.3387,64.2289,8.788,1.26,1.3,2.37,1.05,MS,10.385193
T001736,1736.01,408618999,43.435,69.1014,8.953,1.41,1.0,2.74,0.94,MS,7.07349
T001739,1739.01,159418353,240.1774,83.2582,10.692,0.78,0.78,2.15,1.19,MS,8.303966
T001741,1741.01,198206613,247.0447,63.4986,11.794,0.61,0.68,1.37,0.87,MS,10.941661
156141,1742.01,219857012,257.3285,71.8764,8.863,1.16,1.02,2.2,1.0,MS,21.272109
T001744,1744.01,229455001,294.2911,60.8814,9.543,1.14,1.18,4.33,1.06,MS,22.342014
T001747,1747.01,233071822,270.8066,60.6756,11.546,0.7,0.69,1.44,0.8,MS,2.754667
146757,1751.01,287080092,243.4888,63.5343,9.327,1.27,1.15,2.81,0.97,MS,37.473479
T001753,1753.01,289580577,252.4698,61.1735,11.831,0.96,1.01,2.96,0.88,MS,5.384942
T001758,1758.01,367858035,354.74300000000005,75.6851,10.794,0.81,0.88,3.8,0.93,MS,20.70427
T001759,1759.01,408636441,326.8533,62.7539,11.93,0.63,0.61,3.23,0.93,MS,37.696127
T001761,1761.01,424391516,281.5774,75.3033,11.214,1.19,1.24,2.38,1.0,MS,11.5919
T001768,1768.01,137906197,152.1029,55.5401,10.419,1.1,1.1,3.08,1.0,MS,7.33855
T001772,1772.01,85293053,156.8379,34.391,9.955,1.0,0.99,2.46,0.92,MS,8.05147
75732,1773.01,332064670,133.1492,28.3308,5.9510000000000005,0.96,0.9,1.8,0.99,MS,0.73665
85426,1774.01,4897275,148.1605,35.1117,8.25,1.09,1.06,2.74,0.96,MS,16.710042
T001775,1775.01,9348006,150.1151,39.4578,11.648,0.84,0.9,8.07,1.05,MS,10.240374
95072,1776.01,21535395,164.7761,40.9836,8.26,0.95,1.02,1.4,0.96,MS,2.800991
87620,1777.01,29191624,151.80700000000004,46.115,9.31,0.98,1.06,2.33,1.01,MS,14.653199
77946,1778.01,39699648,136.7781,46.6726,8.99,1.33,1.12,2.83,1.09,MS,6.515951
T001794,1794.01,286916251,203.3977,49.0611,10.32,1.3,1.02,3.03,0.96,MS,8.7657
93963,1797.01,368435330,162.7771,25.6412,9.182,1.05,1.08,3.21,0.97,MS,3.645428
T001798,1798.01,198153540,211.0941,46.5194,11.360999999999999,0.78,0.87,2.39,0.97,MS,8.018944
96735,1799.01,8967242,167.233,34.3032,8.98,0.96,1.01,1.63,0.98,MS,7.093853
