,star_id,id,observation_id,ra,dec,instrument,counts,iodine_in,bjd,obs_type
100,HD 12572,1428135,j421.1404,2.0602583,21.280611,HIRES,201648,t,2459421.04462838,RV
101,HD 12572,1428207,j422.186,2.0602583,21.280611,HIRES,250068,t,2459423.11956295,RV
102,HD 12572,1428244,coy.099,2.0602583,21.280611,APF,223000000,t,2459424.89104183,RV
103,HD 12572,1429934,cpd.315,2.0602583,21.280611,APF,374000000,t,2459429.99112958,RV
104,HD 12572,1429939,cpe.504,2.0602583,21.280611,APF,345000000,t,2459431.00153953,RV
105,HD 12572,1429850,cpj.815,2.0602583,21.280611,APF,379000000,t,2459435.98871928,RV
106,HD 12572,1430132,cpk.952,2.0602583,21.280611,APF,895000000,t,2459436.99323523,RV
107,HD 12572,1428991,j426.487,2.0602583,21.280611,HIRES,250584,t,2459446.11997409,RV
108,HD 12572,1429052,j427.100,2.0602583,21.280611,HIRES,250376,t,2459449.11626072,RV
109,HD 12572,1429193,j427.502,2.0602583,21.280611,HIRES,183416,t,2459451.02089646,RV
110,HD 12572,1429869,cqf.118,2.0602583,21.280611,APF,357000000,t,2459457.94486321,RV
111,HD 12572,1429875,cqg.406,2.0602583,21.280611,APF,298000000,t,2459458.95656616,RV
112,HD 12572,1429942,cqh.713,2.0602583,21.280611,APF,338000000,t,2459459.96942611,RV
113,HD 12572,1429845,cqk.497,2.0602583,21.280611,APF,285000000,t,2459462.96589997,RV
114,HD 12572,1429863,cql.713,2.0602583,21.280611,APF,304000000,t,2459463.92864792,RV
115,HD 12572,1429876,cqm.118,2.0602583,21.280611,APF,300000000,t,2459464.91219487,RV
116,HD 12572,1430176,cqn.412,2.0602583,21.280611,APF,279000000,t,2459465.91663282,RV
117,HD 12572,1429849,cqo.711,2.0602583,21.280611,APF,347000000,t,2459466.88628778,RV
118,HD 12572,1429923,cqq.309,2.0602583,21.280611,APF,314000000,t,2459468.92259268,RV
119,HD 12572,1429771,cqr.615,2.0602583,21.280611,APF,378000000,t,2459469.90097163,RV
120,HD 12572,1429833,cqs.111,2.0602583,21.280611,APF,318000000,t,2459470.89080858,RV
121,HD 12572,1430010,cqt.417,2.0602583,21.280611,APF,395000000,t,2459471.93114553,RV
122,HD 12572,1430271,cqv.122,2.0602583,21.280611,APF,144000000,t,2459473.94410344,RV
123,HD 12572,1430311,cqw.422,2.0602583,21.280611,APF,349000000,t,2459474.94912139,RV
124,HD 12572,1430386,cqx.715,2.0602583,21.280611,APF,244000000,t,2459475.90729534,RV
125,HD 12572,1430404,j429.880,2.0602583,21.280611,HIRES,250324,t,2459475.92646322,RV
126,HD 12572,1430438,j429.993,2.0602583,21.280611,HIRES,250600,t,2459476.9276942,RV
127,HD 12572,1430500,j430.107,2.0602583,21.280611,HIRES,250376,t,2459478.99464707,RV
128,HD 12572,1430866,cri.614,2.0602583,21.280611,APF,151000000,t,2459486.89327281,RV
129,HD 12572,1430890,crj.095,2.0602583,21.280611,APF,369000000,t,2459487.91673477,RV
130,HD 12572,1430979,crl.596,2.0602583,21.280611,APF,388000000,t,2459489.90236767,RV
131,HD 12572,1431185,cru.122,2.0602583,21.280611,APF,521000000,t,2459498.90183624,RV
132,HD 12572,1431238,crw.604,2.0602583,21.280611,APF,299000000,t,2459500.91505115,RV
133,HD 12572,1431289,cry.107,2.0602583,21.280611,APF,396000000,t,2459502.93295905,RV
134,HD 12572,1431435,csa.513,2.0602583,21.280611,APF,250000000,t,2459504.94406496,RV
135,HD 12572,1431664,j437.77,2.0602583,21.280611,HIRES,250224,t,2459512.03737583,RV
136,HD 12572,1431713,j438.89,2.0602583,21.280611,HIRES,250032,t,2459513.8961253,RV
137,HD 12572,1431870,j439.88,2.0602583,21.280611,HIRES,250596,t,2459516.88599072,RV
138,HD 12572,1431926,csn.818,2.0602583,21.280611,APF,265000000,t,2459517.78155536,RV
139,HD 12572,1432077,cst.327,2.0602583,21.280611,APF,274000000,t,2459523.80236508,RV
140,HD 12572,1432184,csw.109,2.0602583,21.280611,APF,408000000,t,2459526.83010694,RV
141,HD 12572,1432245,csz.524,2.0602583,21.280611,APF,279000000,t,2459529.8099418,RV
142,HD 12572,1432396,ctb.110,2.0602583,21.280611,APF,332000000,t,2459531.82021571,RV
143,HD 12572,1432482,ctd.710,2.0602583,21.280611,APF,308000000,t,2459533.82903662,RV
144,HD 12572,1432641,j441.280,2.0602583,21.280611,HIRES,250636,t,2459537.89426036,RV
145,HD 12572,1432716,ctj.504,2.0602583,21.280611,APF,180000000,t,2459539.87896435,RV
146,HD 12572,1432858,ctl.113,2.0602583,21.280611,APF,267000000,t,2459541.89976025,RV
147,HD 12572,1433006,j442.491,2.0602583,21.280611,HIRES,250244,t,2459542.87175576,RV
148,HD 12572,1433071,ctn.615,2.0602583,21.280611,APF,253000000,t,2459543.87374716,RV
149,HD 12572,1433443,j442.1199,2.0602583,21.280611,HIRES,250292,t,2459545.88119804,RV
150,HD 12572,1433494,ctq.599,2.0602583,21.280611,APF,277000000,t,2459546.70990604,RV
151,HD 12572,1433588,j442.1380,2.0602583,21.280611,HIRES,250568,t,2459546.7318617,RV
152,HD 12572,1433650,cts.396,2.0602583,21.280611,APF,297000000,t,2459548.71359895,RV
153,HD 12572,1433718,ctu.100,2.0602583,21.280611,APF,375000000,t,2459550.73094186,RV
154,HD 12572,1433834,ctw.703,2.0602583,21.280611,APF,267000000,t,2459552.77391376,RV
155,HD 12572,1433952,cud.499,2.0602583,21.280611,APF,308000000,t,2459559.66215346,RV
156,HD 12572,1434048,j443.75,2.0602583,21.280611,HIRES,250776,t,2459565.88113772,RV
157,HD 12572,1434151,cul.599,2.0602583,21.280611,APF,338000000,t,2459567.7017371,RV
158,HD 12572,1434858,cvl.079,2.0602583,21.280611,APF,121000000,t,2459593.70393797,RV
159,HD 12572,1434859,cvl.080,2.0602583,21.280611,APF,65400000,t,2459593.72484997,RV
160,HD 12572,1434985,j448.86,2.0602583,21.280611,HIRES,250304,t,2459595.80531884,RV
161,HD 12572,1435454,cvp.288,2.0602583,21.280611,APF,21400000,t,2459597.6318968,RV
162,HD 12572,1435455,cvp.289,2.0602583,21.280611,APF,4780000,t,2459597.6566048,RV
163,HD 12572,1435129,cvs.090,2.0602583,21.280611,APF,270000000,t,2459600.61029368,RV
164,HD 12572,1435130,cvs.091,2.0602583,21.280611,APF,270000000,t,2459600.62958567,RV
165,HD 12572,1435153,cvu.586,2.0602583,21.280611,APF,245000000,t,2459602.64941959,RV
166,HD 12572,1435154,cvu.587,2.0602583,21.280611,APF,270000000,t,2459602.66961459,RV
167,HD 12572,1435270,cvv.792,2.0602583,21.280611,APF,270000000,t,2459603.64370655,RV
168,HD 12572,1435271,cvv.793,2.0602583,21.280611,APF,270000000,t,2459603.65920255,RV
169,HD 12572,1435357,cvx.392,2.0602583,21.280611,APF,271000000,t,2459605.67784446,RV
170,HD 12572,1435358,cvx.393,2.0602583,21.280611,APF,270000000,t,2459605.68901146,RV
171,HD 12572,1435539,cvz.091,2.0602583,21.280611,APF,271000000,t,2459607.68729637,RV
