star_id,id,observation_id,ra,dec,instrument,counts,iodine_in,bjd
12572,1431185,cru.122,2.0602583,21.280611,apf,521000000,t,2459498.90183624
12572,1430979,crl.596,2.0602583,21.280611,apf,388000000,t,2459489.90236767
12572,1430890,crj.095,2.0602583,21.280611,apf,369000000,t,2459487.91673477
12572,1430866,cri.614,2.0602583,21.280611,apf,151000000,t,2459486.89327281
12572,1430500,j430.107,2.0602583,21.280611,hires_j,250376,t,2459478.99464707
12572,1430438,j429.993,2.0602583,21.280611,hires_j,250600,t,2459476.9276942
12572,1430404,j429.880,2.0602583,21.280611,hires_j,250324,t,2459475.92646322
12572,1430386,cqx.715,2.0602583,21.280611,apf,244000000,t,2459475.90729534
12572,1430311,cqw.422,2.0602583,21.280611,apf,349000000,t,2459474.94912139
12572,1430271,cqv.122,2.0602583,21.280611,apf,144000000,t,2459473.94410344
12572,1430176,cqn.412,2.0602583,21.280611,apf,279000000,t,2459465.91663282
12572,1430132,cpk.952,2.0602583,21.280611,apf,895000000,t,2459436.99323523
12572,1430010,cqt.417,2.0602583,21.280611,apf,395000000,t,2459471.93114553
12572,1429942,cqh.713,2.0602583,21.280611,apf,338000000,t,2459459.96942611
12572,1429939,cpe.504,2.0602583,21.280611,apf,345000000,t,2459431.00153953
12572,1429934,cpd.315,2.0602583,21.280611,apf,374000000,t,2459429.99112958
12572,1429923,cqq.309,2.0602583,21.280611,apf,314000000,t,2459468.92259268
12572,1429876,cqm.118,2.0602583,21.280611,apf,300000000,t,2459464.91219487
12572,1429875,cqg.406,2.0602583,21.280611,apf,298000000,t,2459458.95656616
12572,1429869,cqf.118,2.0602583,21.280611,apf,357000000,t,2459457.94486321
12572,1429863,cql.713,2.0602583,21.280611,apf,304000000,t,2459463.92864792
12572,1429850,cpj.815,2.0602583,21.280611,apf,379000000,t,2459435.98871928
12572,1429849,cqo.711,2.0602583,21.280611,apf,347000000,t,2459466.88628778
12572,1429845,cqk.497,2.0602583,21.280611,apf,285000000,t,2459462.96589997
12572,1429833,cqs.111,2.0602583,21.280611,apf,318000000,t,2459470.89080858
12572,1429771,cqr.615,2.0602583,21.280611,apf,378000000,t,2459469.90097163
12572,1429193,j427.502,2.0602583,21.280611,hires_j,183416,t,2459451.02089646
12572,1429052,j427.100,2.0602583,21.280611,hires_j,250376,t,2459449.11626072
12572,1428991,j426.487,2.0602583,21.280611,hires_j,250584,t,2459446.11997409
12572,1428244,coy.099,2.0602583,21.280611,apf,223000000,t,2459424.89104183
12572,1428207,j422.186,2.0602583,21.280611,hires_j,250068,t,2459423.11956295
12572,1428135,j421.1404,2.0602583,21.280611,hires_j,201648,t,2459421.04462838
12572,1428101,cou.100,2.0602583,21.280611,apf,5690000,t,2459420.88417303
12572,1428064,cot.698,2.0602583,21.280611,apf,170000000,t,2459419.88186608
12572,1428038,cos.492,2.0602583,21.280611,apf,427000000,t,2459418.89471112
12572,1428016,j421.1147,2.0602583,21.280611,hires_j,250592,t,2459418.09448316
12572,1427802,cop.699,2.0602583,21.280611,apf,285000000,t,2459415.88989727
12572,1427624,con.306,2.0602583,21.280611,apf,283000000,t,2459413.95152937
12572,1427581,com.099,2.0602583,21.280611,apf,342000000,t,2459412.90501742
12572,1427495,col.699,2.0602583,21.280611,apf,264000000,t,2459411.90345247
12572,1427069,j420.287,2.0602583,21.280611,hires_j,250556,t,2459406.12501982
12572,1426633,j417.122,2.0602583,21.280611,hires_j,250728,t,2459396.12075911
12572,1426388,cnp.308,2.0602583,21.280611,apf,266000000,t,2459389.97541056
12572,1426339,j416.1526,2.0602583,21.280611,hires_j,60028,t,2459390.11833792
12572,1426270,j416.1318,2.0602583,21.280611,hires_j,60720,t,2459389.11697246
12572,1426220,cno.114,2.0602583,21.280611,apf,229000000,t,2459388.97817761
12572,1426178,j416.1108,2.0602583,21.280611,hires_j,60036,t,2459388.11963624
12572,1426055,j416.718,2.0602583,21.280611,hires_j,60132,t,2459386.1211823
12572,1425948,j416.513,2.0602583,21.280611,hires_j,60412,t,2459385.12286484
12572,1425881,j416.292,2.0602583,21.280611,hires_j,60488,t,2459384.1182519
12572,1425724,j416.92,2.0602583,21.280611,hires_j,60416,t,2459382.12023395
12572,1425653,j415.708,2.0602583,21.280611,hires_j,60464,t,2459380.11746191
12572,1422808,j403.70,2.0602583,21.280611,hires_j,250452,t,2459280.73180499
12572,1422400,j401.168,2.0602583,21.280611,hires_j,250700,t,2459267.71574405
12572,1422172,cij.490,2.0602583,21.280611,apf,173000000,t,2459253.73717941
12572,1422089,j400.469,2.0602583,21.280611,hires_j,60668,t,2459238.74930192
12572,1421646,chj.689,2.0602583,21.280611,apf,237000000,t,2459227.80526872
