star_id,observation_id,instrument,ra_new,dec_new,vmag_new,counts,teff,vsini,logrhk,sval,bjd
WASP-148,j414.313,hires_j,16.94203,44.30254,12.039999961853,36668,,,NaN,0.2548,2459374.98269094
156141,cmw.286,apf,17.155258,71.876667,8.85999965667725,387000000,,,,,2459370.77367342
219134,bnv.308,apf,23.221382,57.168355,5.57000017166138,1010000000,,,-4.87396841582691,0.289806338331,2458719.88524566
97658,j123.279,hires_j,11.242545,25.710385,7.71400022506714,60892,,,-4.91798170249723,0.189,2455731.79562862
T001710,csz.526,apf,6.2855889,76.210833,9.53999996185303,165000000,,,,,2459529.84905751
T001347,j395.577,hires_j,18.688444,70.29,11.1700000762939,59996,,,-4.68607283368875,0.2794,2459189.74663726
219134,abk.213,apf,23.221382,57.168355,5.57000017166138,380000000,,,-5.00027312290599,0.222680459366,2456597.95124083
6061,j363.266,hires_j,1.039875,37.185278,8.84000015258789,250048,,,-4.89366941924687,0.1729,2458879.72139465
95072,j378.66,hires_j,10.98515,40.98372,nan,250228,,,-5.09881434375845,0.1464,2459044.74842726
93963,j416.478,hires_j,10.85178,25.64106,9.18000030517578,250320,,,-4.6701865206617,0.2274,2459384.82132743
63433,buz.313,apf,7.8319616,27.363184,6.90999984741211,825000000,,,-4.4091925991631,0.374041166021,2458905.87939613
T001136,bum.697,apf,12.812328,64.855,9.52999973297119,141000000,,,-4.47677025235255,0.330797644514,2458892.80562468
T001824,dbq.084,apf,13.18208,61.74485,9.72000026702881,187000000,,,,,2459754.75734148
146757,daf.089,apf,16.232589,63.533333,nan,162000000,,,,,2459717.82768399
219134,aer.199,apf,23.221382,57.168355,5.57000017166138,351000000,,,-4.95556156881471,0.244245782049,2456826.81120662
235088,j490.486,hires_j,20.040906,53.376472,nan,250744,,,-4.59393681304656,0.4419,2459835.84304481
75732,j26.1025,hires_j,8.8766142,28.330819,nan,402820,,,-4.93355702615409,0.197,2454086.10502778
T001246,j383.468,hires_j,16.741058,70.429722,11.6300001144409,60032,,,-5.11634225458164,0.1478,2459072.87996081
77946,cyj.685,apf,9.11851,46.67243,9.0,263000000,,,,,2459669.70812955
97658,j147.69,hires_j,11.242545,25.710385,7.71400022506714,250900,,,-4.87636775141989,0.201,2455999.79527249
154840,j389.1063,hires_j,17.075917,56.8425,9.17000007629395,250480,,,-5.24693411273465,0.129,2459119.73495383
K00246,j193.877,hires_j,19.402155,49.040272,10.0799999237061,200020,,,-5.09760062775359,0.1457,2456892.76662521
T000561,j401.573,hires_j,9.8790111,6.2158333,10.25,250136,,,-5.15985954205243,0.1381,2459269.77613964
219134,csu.599,apf,23.221382,57.168355,5.57000017166138,1000000000,,,-5.00070908572215,0.222480923889,2459524.68511796
HTR155-001,j97.1142,hires_j,19.847261,48.080307,nan,125020,,,-4.57982899575715,0.606,2455432.01292029
93963,j471.271,hires_j,10.85178,25.64106,9.18000030517578,250668,,,-4.77679456360181,0.1983,2459748.76244689
12572,buy.083,apf,2.0602583,21.280611,nan,126000000,,,,,2458904.64060479
63433,j371.671,hires_j,7.8319616,27.363184,6.90999984741211,250852,,,-4.52977804361833,0.3046,2459013.73555419
135694,dbe.049,apf,15.191464,71.84075,nan,459000000,,,-5.09144670367065,0.146338234026,2459742.83125954
T001246,j434.273,hires_j,16.741058,70.429722,11.6300001144409,48552,,,-5.10751617972619,0.1497,2459503.76936803
63433,j366.87,hires_j,7.8319616,27.363184,6.90999984741211,250884,,,-4.5460930300966,0.2966,2458916.85104778
63935,j360.282,hires_j,7.8616778,9.3865,nan,250088,,,-5.06569319040494,0.1521,2458856.86608479
237566,cxl.687,apf,7.0055556,56.824167,9.40999984741211,271000000,,,,,2459645.68038875
95072,clt.684,apf,10.98515,40.98372,nan,10600000,,,,,2459341.77918782
T001246,j478.269,hires_j,16.741058,70.429722,11.6300001144409,54332,,,-5.26682005294919,0.1207,2459776.79160804
97658,j126.266,hires_j,11.242545,25.710385,7.71400022506714,251412,,,-4.88980084646856,0.197,2455752.74346935
75732,j83.55,hires_j,8.8766142,28.330819,nan,259588,,,-5.01363452062335,0.173,2455229.08178802
156141,j463.84,hires_j,17.155258,71.876667,8.85999965667725,250596,,,-5.16594897161645,0.1378,2459710.12760108
HTR155-001,j348.74,hires_j,19.847261,48.080307,nan,125232,,,-4.62064107594915,0.5533,2458776.87262177
146757,bxj.303,apf,16.232589,63.533333,nan,171000000,,,,,2458967.97894812
HIP65469,j470.292,hires_j,13.41884,38.92237,9.97000026702881,125152,,,-4.448854755364,0.7081,2459745.90255367
