"Name","toi","vmag","ra","dec","teff","vsini","svalue","logrhk","mass","radius","last_observed","last_observed_apf","last_observed_hires_j","have_template_hires_j","have_template_apf","tic","ruwe","evol","toi_cand","per","rp","in_tks_drop","in_tks_sc2a"
"K00246","1290","9.99","19.402155","49.040272","5647","1.89368870629e-7","0.139","-5.15319045177521","1.06397740849","1.641","339","null","339","1","null","417676622","0.9","MS","null","null","null","0","1"
"T000561","561","10.25","9.8790111","6.2158333","5302","2.28109941913e-7","0.1441","-5.12192019240108","0.752508460399","0.835","23","null","23","1","null","377064495","1.1","MS","561.01","10.781327","3.2","0","0"
"T000561","561","10.25","9.8790111","6.2158333","5302","2.28109941913e-7","0.1441","-5.12192019240108","0.752508460399","0.835","23","null","23","1","null","377064495","1.1","MS","561.02","0.446547","1.6","0","0"
"T000561","561","10.25","9.8790111","6.2158333","5302","2.28109941913e-7","0.1441","-5.12192019240108","0.752508460399","0.835","23","null","23","1","null","377064495","1.1","MS","561.03","16.37165","2.8","0","0"
"T001136","1136","9.53","12.812328","64.855","5747.5","5.34743430544","0.2783","-4.58262440145162","1.0280416065","1.013","3","34","3","1","1","142276270","1","MS","1136.01","12.518414","4.9","0","0"
"T001136","1136","9.53","12.812328","64.855","5747.5","5.34743430544","0.2783","-4.58262440145162","1.0280416065","1.013","3","34","3","1","1","142276270","1","MS","1136.02","6.256742","3.2","0","0"
"T001136","1136","9.53","12.812328","64.855","5747.5","5.34743430544","0.2783","-4.58262440145162","1.0280416065","1.013","3","34","3","1","1","142276270","1","MS","1136.03","26.321864","4.3","0","0"
"T001173","1173","11.04","13.178872","70.767778","5266","1.1534074637","0.1341","-5.20338928316795","0.921864128955","0.986","170","null","170","0","null","232967440","0.9","MS","1173.01","7.06456","9.3","0","0"
"T001174","1174","10.96","13.947811","68.618056","5056","2.22540756879","0.27555","-4.77517186529837","0.82522023823","0.763","43","255","43","0","0","154089169","1","MS","1174.01","8.9596","2.7","0","0"
"T001180","1180","11.02","14.303719","82.193611","4699","2.59936982164","0.2947","-4.84846700201018","0.750583732168","0.751","136","null","136","0","null","158002130","1.1","MS","1180.01","9.692137","3.1","0","0"
"T001184","1184","10.99","18.146967","60.678611","4488","2.300505110175","0.4931","-4.63399380366627","0.697649009746","0.698","138","null","138","1","null","233087860","1.08","MS","1184.01","5.74842","2.19","0","0"
"T001194","1194","11.3","11.1881","69.964722","5297","1.35053570456","0.159","-5.04444191716865","0.984822141364","0.9975","15","null","15","1","null","147950620","1.1","MS","1194.01","2.3106","8.7","0","1"
"T001235","1235","12.28","10.147883","69.276389","3896.5","3.74172043692","0.6706","-4.88975330024526","0.5962687011505","0.617","136","null","136","1","null","103633434","1.05","MS","1235.01","3.4447","1.87","0","0"
"T001249","1249","11.09","13.370772","66.308333","5402","1.4798257333","0.1453","-5.11340684140153","1.00315678204","1.058","148","null","148","0","null","232976128","1","MS","1249.01","13.078807","3.5","0","0"
"T001258","1258","9.63","13.965622","79.583056","6100","5.30920001384","0.12385","-5.31171694641466","1.1543035732","1.202","1","1","137","0","1","288132261","1.1","MS","1258.01","10.26086","4.7","0","0"
"T001279","1279","10.71","12.337525","56.201389","5381","0.816859392531","0.15345","-5.06344860111958","0.848904580915","0.898","27","264","27","1","0","224297258","0.9","MS","1279.01","9.614679","3","0","1"
"T001288","1288","10.44","20.877803","65.608611","5236","0.704383353249588","0.20965","-4.70922162512","0.94676862415","1.0235","24","271","24","1","0","365733349","1.1","MS","1288.01","2.700062","5.1","0","0"
"T001301","1301","11.34","18.390836","71.581667","4824","3.8658399411","0.482","-4.58202529431279","0.786000757435","0.746","239","null","239","0","null","356867115","0.98","MS","1301.01","6.09617","2.63","0","0"
"T001347","1347","11.17","18.688444","70.29","5356","1.665340579595","0.28465","-4.67549167376158","0.9162098327475","0.913","12","null","12","1","null","229747848","0.74","MS","1347.01","0.8475","2","0","0"
"T001347","1347","11.17","18.688444","70.29","5356","1.665340579595","0.28465","-4.67549167376158","0.9162098327475","0.913","12","null","12","1","null","229747848","0.74","MS","1347.02","4.84167","1.91","0","0"
