star_id,runname,dvdt,curv,u_dvdt,u_curv
63935,default_cps,0.0082,0.0,0.0034,0.0
63935,default,nan,nan,nan,nan
63935,default,nan,nan,nan,nan
63935,default,nan,nan,nan,nan
63935,default,0.0083,0.0,0.0034,0.0
93963,default_cps,nan,nan,nan,nan
93963,default_cps,nan,nan,nan,nan
93963,default_cps,0.188,0.0,0.036,0.0
93963,default,nan,nan,nan,nan
93963,default,nan,nan,nan,nan
93963,default,0.188,0.0,0.036,0.0
GJ9522A,gp_shk_training,nan,nan,nan,nan
GJ9522A,gp_shk_training,nan,nan,nan,nan
GJ9522A,gp_shk_training,0.0,0.0,0.0,0.0
GJ9522A,gp_shk,nan,nan,nan,nan
GJ9522A,gp_shk,nan,nan,nan,nan
GJ9522A,gp_shk,0.0,0.0,0.0,0.0
GJ9522A,default_cps,nan,nan,nan,nan
GJ9522A,default_cps,nan,nan,nan,nan
GJ9522A,default_cps,-0.03,0.0,0.01,0.0
GJ9522A,2pl_circ_notrend,nan,nan,nan,nan
GJ9522A,2pl_circ_notrend,nan,nan,nan,nan
GJ9522A,2pl_circ_notrend,nan,nan,nan,nan
GJ9522A,2pl_circ_notrend,0.0,0.0,0.0,0.0
GJ9522A,default,nan,nan,nan,nan
GJ9522A,default,nan,nan,nan,nan
GJ9522A,default,-0.03,0.0,0.01,0.0
HIP97166,default_cps,nan,nan,nan,nan
HIP97166,default_cps,nan,nan,nan,nan
HIP97166,default_cps,nan,nan,nan,nan
HIP97166,default_cps,0.0127,0.0,0.0077,0.0
HIP97166,HIP97166_ecc-HIRES_only,nan,nan,nan,nan
HIP97166,HIP97166_ecc-HIRES_only,nan,nan,nan,nan
HIP97166,HIP97166_ecc-HIRES_only,0.0,0.0,0.0,0.0
HIP97166,HIP97166_2planet-ecc,nan,nan,nan,nan
HIP97166,HIP97166_2planet-ecc,nan,nan,nan,nan
HIP97166,HIP97166_2planet-ecc,nan,nan,nan,nan
HIP97166,HIP97166_2planet-ecc,nan,nan,nan,nan
HIP97166,HIP97166_2planet-ecc,0.0,0.0,0.0,0.0
HIP97166,HIP97166_2planet-circ,nan,nan,nan,nan
HIP97166,HIP97166_2planet-circ,nan,nan,nan,nan
HIP97166,HIP97166_2planet-circ,nan,nan,nan,nan
HIP97166,HIP97166_2planet-circ,nan,nan,nan,nan
HIP97166,HIP97166_2planet-circ,0.0,0.0,0.0,0.0
HIP97166,HIP97166_ecc-mason_custom,nan,nan,nan,nan
HIP97166,HIP97166_ecc-mason_custom,nan,nan,nan,nan
HIP97166,HIP97166_ecc-mason_custom,nan,nan,nan,nan
HIP97166,HIP97166_ecc-mason_custom,nan,nan,nan,nan
HIP97166,HIP97166_ecc-mason_custom,0.0,0.0,0.0,0.0
HIP97166,HIP97166_ecc-jitprior,nan,nan,nan,nan
HIP97166,HIP97166_ecc-jitprior,nan,nan,nan,nan
HIP97166,HIP97166_ecc-jitprior,nan,nan,nan,nan
HIP97166,HIP97166_ecc-jitprior,0.0114,0.0,0.0052,0.0
HIP97166,HIP97166_ecc,nan,nan,nan,nan
HIP97166,HIP97166_ecc,nan,nan,nan,nan
HIP97166,HIP97166_ecc,nan,nan,nan,nan
HIP97166,HIP97166_ecc,0.0099,0.0,0.0072,0.0
HIP97166,HIP97166_ecc-notrend,nan,nan,nan,nan
HIP97166,HIP97166_ecc-notrend,nan,nan,nan,nan
HIP97166,HIP97166_ecc-notrend,nan,nan,nan,nan
HIP97166,HIP97166_ecc-notrend,0.0,0.0,0.0,0.0
HIP97166,default,nan,nan,nan,nan
HIP97166,default,nan,nan,nan,nan
HIP97166,default,nan,nan,nan,nan
HIP97166,default,0.0126,0.0,0.0076,0.0
T001173,default_cps,nan,nan,nan,nan
T001173,default_cps,nan,nan,nan,nan
T001173,default_cps,0.033,0.0,0.072,0.0
T001173,default,nan,nan,nan,nan
T001173,default,nan,nan,nan,nan
T001173,default,0.031,0.0,0.073,0.0
T001174,GP,nan,nan,nan,nan
T001174,GP,nan,nan,nan,nan
T001174,GP,0.0,0.0,0.0,0.0
T001174,1pl_ecc,nan,nan,nan,nan
T001174,1pl_ecc,nan,nan,nan,nan
T001174,1pl_ecc,0.0,0.0,0.0,0.0
T001174,default_cps,nan,nan,nan,nan
T001174,default_cps,nan,nan,nan,nan
T001174,default_cps,-0.13,0.0,0.03,0.0
T001174,1pl_circ,nan,nan,nan,nan
T001174,1pl_circ,nan,nan,nan,nan
T001174,1pl_circ,0.0,0.0,0.0,0.0
T001174,default,nan,nan,nan,nan
T001174,default,nan,nan,nan,nan
T001174,default,-0.13,0.0,0.03,0.0
T001194,1pl_trend,nan,nan,nan,nan
T001194,1pl_trend,nan,nan,nan,nan
T001194,1pl_trend,0.003,0.0,0.012,0.0
T001194,1pl_ecc,nan,nan,nan,nan
T001194,1pl_ecc,nan,nan,nan,nan
T001194,1pl_ecc,0.0,0.0,0.0,0.0
