star_id,instrument,counts,iodine_in,bjd
135694,hires_j,250452,t,2459115.73301255
135694,hires_j,250412,t,2459114.74301898
135694,hires_j,185124,t,2459099.72825322
135694,hires_j,250444,t,2459091.72340081
135694,hires_j,164656,t,2459087.74974
135694,hires_j,60540,t,2459077.73858379
135694,hires_j,250276,t,2459057.86864714
135694,hires_j,250612,t,2459051.82280811
135694,hires_j,250264,t,2459042.81247555
135694,hires_j,250208,t,2459041.80951433
135694,hires_j,218608,t,2459040.81172741
135694,hires_j,250180,t,2459039.83185759
135694,hires_j,250436,t,2459038.81316871
135694,hires_j,250940,t,2459036.7850409
135694,hires_j,250412,t,2459035.90130492
135694,hires_j,250288,t,2459034.84830102
135694,hires_j,250044,t,2459031.84471681
135694,hires_j,250636,t,2459030.8321306
135694,hires_j,250200,t,2459029.84422029
135694,hires_j,250560,t,2459028.8117511
135694,hires_j,250764,t,2459027.82772935
135694,hires_j,250076,t,2459025.83224627
135694,hires_j,250524,t,2459024.85936019
135694,apf,183000000,t,2459018.94570802
135694,hires_j,250004,t,2459019.00494274
135694,hires_j,250220,t,2459016.83599641
135694,hires_j,250092,t,2459013.78714087
135694,hires_j,215296,t,2459012.77893364
135694,apf,199000000,t,2459011.96509797
135694,hires_j,250116,t,2459011.81298368
135694,hires_j,250760,t,2459010.8902509
135694,apf,230000000,t,2459009.89600296
135694,hires_j,250432,t,2459007.88997311
135694,hires_j,250212,t,2459006.89297182
135694,hires_j,250752,t,2459003.87967655
135694,hires_j,250252,t,2459002.91459616
135694,apf,204000000,t,2459003.90472192
135694,hires_j,250044,t,2458999.88286527
135694,apf,207000000,t,2458977.93550572
135694,apf,151000000,t,2458976.95680371
135694,apf,193000000,t,2458966.81227463
135694,apf,168000000,t,2458961.89414559
135694,apf,177000000,t,2458921.86900725
135694,apf,177000000,t,2458920.95307025
135694,hires_j,10600,f,2458919.04833869
135694,hires_j,250016,t,2458919.04240076
135694,hires_j,250300,t,2458918.05963474
135694,hires_j,250288,f,2458918.05346581
135694,hires_j,251152,f,2458918.05085085
135694,hires_j,250504,t,2458917.03145285
135694,apf,209000000,t,2458914.98484319
135694,apf,242000000,t,2458906.99080612
135694,apf,169000000,t,2458901.05967207
135694,apf,57900000,t,2458901.02515907
135694,apf,185000000,t,2458899.95732806
135694,apf,223000000,t,2458898.92866305
135694,apf,300000000,t,2458897.74606204
135694,apf,172000000,t,2458895.93746802
135694,apf,208000000,t,2458894.92822201
135694,apf,215000000,t,2458892.90676599
135694,apf,352000000,t,2458891.95533099
135694,apf,236000000,t,2458887.95760895
135694,apf,123000000,t,2458886.68833594
135694,apf,302000000,t,2458885.70008093
135694,apf,250000000,t,2458884.71430292
135694,apf,97500000,t,2458880.77530588
135694,apf,82700000,t,2458880.76075688
135694,apf,74800000,t,2458880.01296388
135694,apf,76900000,t,2458879.99858887
135694,apf,50800000,t,2458878.72734386
135694,apf,59000000,t,2458878.71380186
135694,apf,133000000,t,2458876.00587884
135694,apf,193000000,t,2458875.99153884
135694,apf,193000000,t,2458876.72463384
135694,apf,194000000,t,2458876.71388184
135694,apf,168000000,t,2458873.09834481
135694,apf,126000000,t,2458873.08379681
135694,apf,31500000,t,2458872.97911981
135694,apf,128000000,t,2458872.0244008
135694,apf,138000000,t,2458872.0084168
135694,apf,315000000,t,2458861.01588569
135694,apf,191000000,t,2458861.00895269
135694,apf,110000000,t,2458859.75893568
135694,apf,92700000,t,2458859.74365768
135694,apf,193000000,t,2458854.75673063
135694,apf,194000000,t,2458854.74645263
135694,apf,195000000,t,2458851.87767761
135694,apf,152000000,t,2458851.86501561
135694,apf,66600000,t,2458837.96596047
135694,apf,105000000,t,2458837.95234847
135694,apf,13100000,t,2458834.86800944
135694,apf,24400000,t,2458834.85403944
135694,apf,195000000,t,2458833.93876443
135694,apf,195000000,t,2458833.93014143
135694,apf,102000000,t,2458812.67091021
