,tic,toi,cps,ra,dec,vmag,smass,sradius,evol,ruwe,rp,period
1381,116483514,1411.01,GJ9522A,232.9451,47.0568,10.51,0.65,0.69,MS,,1.34,1.452
1385,148782377,1415.01,HIP71409,219.0374,42.3783,8.86,1.28,1.41,MS,,4.78,14.4194
1386,158025009,1416.01,HIP70705,216.924,41.9534,9.91,0.81,0.8,MS,1.12,1.77,1.0696
1389,311035838,1419.01,HTR145-001,206.0941,48.0287,11.856,0.89,0.82,MS,,9.65,2.8997
1390,321857016,1420.01,T001420,322.9413,66.3489,11.655,0.94,0.94,MS,,12.09,6.9561
1392,333473672,1422.01,T001422,354.2412,39.6394,10.622,1.08,1.01,MS,1.03,3.09,12.9984
1400,293954617,1430.01,235088,300.6143,53.3768,9.19,0.85,0.78,MS,,2.23,7.434
1402,256783784,1432.01,T001432,329.4016,36.3216,10.061,0.99,0.91,MS,,2.18,6.1122
1404,138588540,1434.01,102121,176.3806,65.541,8.78,0.94,0.74,MS,0.96,2.03,29.8894
1405,153976959,1435.01,T001435,203.5369,67.6217,10.630999999999998,0.87,0.82,MS,,1.16,0.686
1406,154383539,1436.01,T001436,215.6025,55.3337,12.005999999999998,0.83,0.75,MS,0.9,1.72,0.8675
1407,198356533,1437.01,154840,256.1387,56.8426,9.173,1.14,1.22,MS,,2.47,18.8411
1408,229650439,1438.01,T001438,280.9243,74.9376,10.957,0.9,0.82,MS,0.84,2.58,5.1397
1410,232982558,1439.01,T001439,241.7639,67.8777,10.55,1.06,1.62,SG,,4.06,27.643
1413,233951353,1441.01,T001441,305.4131,58.1412,10.041,1.07,1.24,MS,,2.78,22.0958
1415,237232044,1443.01,T001443,297.4003,76.1391,10.675,0.89,0.75,MS,1.14,2.33,23.5406
1416,258514800,1444.01,T001444,305.4743,70.9438,10.936,0.96,0.92,MS,,1.33,0.4703
1419,294471966,1446.01,T001446,302.0014,51.3619,11.577,0.88,0.83,MS,,2.22,6.3172
1424,377293776,1450.01,T001450,286.8535,59.0859,12.28,0.47,0.47,MS,0.94,1.07,2.0439
1425,417931607,1451.01,T001451,186.5243,61.259,9.584,1.04,1.03,MS,1.08,2.46,16.5382
1427,198390247,1453.01,T001453,258.2238,57.1978,11.113,0.81,0.71,MS,0.93,2.31,6.5887
1429,294179385,1454.01,T001454,300.8423,53.2942,11.241,1.14,1.14,MS,0.88,13.58,2.6796
1431,199376584,1456.01,332231,306.7413,33.7445,8.558,1.16,1.27,MS,,7.7,12.156
1433,191284318,1458.01,HTR123-008,9.5732,42.4631,10.911,1.16,1.24,MS,0.79,14.66,2.776
1437,188768068,1462.01,T001462,261.3502,52.7907,6.479,1.04,1.26,MS,1.05,1.21,2.1779
1438,190998418,1463.01,QATAR-5,7.0539,42.0614,12.614,0.99,1.11,MS,0.94,12.57,2.8793
1440,236887394,1465.01,QATAR-1,303.3817,65.1621,12.692,0.8,0.77,MS,,12.29,1.42
1441,237086564,1466.01,T001466,307.3959,61.5504,12.189,0.66,0.75,MS,0.89,2.37,1.8719
1442,240968774,1467.01,T001467,19.1139,49.2338,12.293,0.49,0.49,MS,1.09,1.83,5.9734
1443,243185500,1468.01,T001468,16.6541,19.2259,12.5,0.36,0.37,MS,,2.33,15.5319
1445,283722336,1469.01,219134,348.3207,57.1684,5.569,0.8,0.75,MS,,1.21,3.0929
1448,306263608,1471.01,12572,30.9043,21.2809,9.2,1.0,0.97,MS,1.15,4.28,20.772
1449,306955329,1472.01,T001472,14.1136,48.6376,11.302,0.86,0.86,MS,1.01,4.31,6.3641
1450,352413427,1473.01,6061,15.5982,37.1855,8.844,1.09,0.99,MS,1.01,2.49,5.2553
1461,67309890,1484.01,T001484,343.1564,48.5501,10.884,1.19,2.23,SG,,8.95,1.1624
1463,233541860,1486.01,T001486,281.1982,62.6854,11.402999999999999,0.63,0.71,MS,,1.21,0.2666
1464,459978312,1487.01,T001487,255.5656,64.6007,6.106,,8.95,RGB,,14.65,23.288
1467,283474780,1490.01,T001490,13.0174,36.3929,9.254,,5.11,RGB,0.93,11.98,3.9943
1471,411608801,1494.01,T001494,18.9952,21.6169,10.81,1.3,1.48,MS,,13.28,5.0265
1481,326114850,1504.01,T001504,331.5696,52.7019,10.581,1.19,1.5,MS,1.01,3.69,1.2456
1487,377739433,1510.01,T001510,348.5738,65.9579,10.850999999999999,1.34,3.4,SG,,7.12,1.2385
1492,470709084,1515.01,T001515,357.3681,61.6828,11.338,1.27,2.32,SG,,7.71,3.6633
1493,376637093,1516.01,T001516,340.0844,69.5037,10.857999999999999,1.32,1.24,MS,0.92,16.4,2.056
1497,269238073,1520.01,T001520,350.2325,62.1611,10.154,1.17,1.5,MS,0.8,3.89,6.155
1503,313761775,1526.01,T001526,318.3478,56.9438,10.253,1.24,2.38,SG,0.89,5.51,1.5313
1510,345143460,1533.01,T001533,355.2466,57.4854,10.953,0.84,0.88,MS,1.03,2.81,3.6462
