star_id,day,instrument,0
154840,2020-06-18,hires_j,1
154840,2020-06-19,apf,1
154840,2020-06-23,apf,1
154840,2020-06-26,apf,1
154840,2020-06-27,hires_j,1
154840,2020-07-01,apf,1
154840,2020-07-03,apf,1
154840,2020-07-04,apf,1
154840,2020-07-05,apf,1
154840,2020-07-05,hires_j,3
154840,2020-07-09,apf,1
154840,2020-07-09,hires_j,1
154840,2020-07-10,hires_j,1
154840,2020-07-12,apf,1
154840,2020-07-12,hires_j,1
154840,2020-07-13,apf,1
154840,2020-07-14,apf,1
154840,2020-07-15,apf,1
154840,2020-07-21,apf,1
154840,2020-07-21,hires_j,1
154840,2020-07-22,apf,1
154840,2020-07-24,apf,1
154840,2020-07-25,apf,1
154840,2020-07-26,apf,1
154840,2020-07-29,apf,1
154840,2020-07-30,apf,1
154840,2020-08-01,apf,1
154840,2020-08-03,apf,1
154840,2020-08-07,hires_j,1
154840,2020-08-08,apf,1
154840,2020-08-10,apf,1
154840,2020-08-11,apf,1
154840,2020-08-16,apf,1
154840,2020-08-26,hires_j,1
154840,2020-08-28,hires_j,1
154840,2020-09-09,hires_j,1
154840,2020-09-27,hires_j,1
154840,2020-09-30,hires_j,1
154840,2020-10-01,hires_j,1
154840,2020-12-21,apf,1
154840,2021-01-14,apf,1
154840,2021-02-08,apf,1
154840,2021-02-23,hires_j,1
154840,2021-03-01,apf,1
154840,2021-03-22,hires_j,1
154840,2021-03-23,hires_j,1
154840,2021-03-26,hires_j,1
154840,2021-03-28,apf,1
154840,2021-04-19,apf,1
154840,2021-05-10,apf,1
154840,2021-05-19,hires_j,1
154840,2021-05-24,hires_j,1
154840,2021-06-02,hires_j,1
154840,2021-06-03,hires_j,1
154840,2021-06-08,hires_j,1
154840,2021-06-16,hires_j,1
154840,2021-06-19,hires_j,1
154840,2021-06-20,hires_j,1
154840,2021-06-21,hires_j,1
154840,2021-06-22,hires_j,1
154840,2021-06-24,hires_j,1
154840,2021-06-30,hires_j,1
154840,2021-07-04,hires_j,1
154840,2021-07-09,hires_j,1
